Year,InflationRate(%),AnnualChange
1960,1.46,
1961,1.07,-0.39
1962,1.20,0.13
1963,1.24,0.04
1964,1.28,0.04
1965,1.59,0.31
1966,3.02,1.43
1967,2.77,-0.24
1968,4.27,1.50
1969,5.46,1.19
1970,5.84,0.38
1971,4.29,-1.55
1972,3.27,-1.02
1973,6.18,2.91
1974,11.05,4.88
1975,9.14,-1.91
1976,5.74,-3.40
1977,6.50,0.76
1978,7.63,1.13
1979,11.25,3.62
1980,13.55,2.29
1981,10.33,-3.21
1982,6.13,-4.20
1983,3.21,-2.92
1984,4.30,1.09
1985,3.55,-0.75
1986,1.90,-1.65
1987,3.66,1.77
1988,4.08,0.41
1989,4.83,0.75
1990,5.40,0.57
1991,4.24,-1.16
1992,3.03,-1.21
1993,2.95,-0.08
1994,2.61,-0.34
1995,2.81,0.20
1996,2.93,0.13
1997,2.34,-0.59
1998,1.55,-0.79
1999,2.19,0.64
2000,3.38,1.19
2001,2.83,-0.55
2002,1.59,-1.24
2003,2.27,0.68
2004,2.68,0.41
2005,3.39,0.72
2006,3.23,-0.17
2007,2.85,-0.37
2008,3.84,0.99
2009,-0.36,-4.19
2010,1.64,2.00
2011,3.16,1.52
2012,2.07,-1.09
2013,1.46,-0.60
2014,1.62,0.16
2015,0.12,-1.50
2016,1.26,1.14
2017,2.13,0.87
2018,2.44,0.31
2019,1.81,-0.63
2020,1.23,-0.58
2021,4.70,3.46
2022,8.00,3.30
